Partner Data Point File,,,
Start of Test Wed 27 Sep 2017 16:42:43,,,
Time ( min ),Shear Strain ( deg ),Angle ( deg ),Torque ( in·lb )
0,0.00031,0,0.02
0.00167,0.000311,0,0.02
0.00333,0.000322,0,0.04
0.005,0.000334,0,0.02
0.00667,0.000333,0.0028,0.01
0.00833,0.000338,0.0028,0.02
0.01,0.000324,0.0028,0.02
0.01167,0.000299,0.0028,0.02
0.01333,0.000265,0.0028,0.02
0.015,0.000232,0.0028,0.01
0.01667,0.000206,0.0028,0
0.01833,0.000194,0.0028,-0.01
0.02,0.000175,0.0028,-0.02
0.02167,0.000179,0.0028,-0.02
0.02333,0.000186,0.0028,-0.02
0.025,0.000202,0.0028,-0.01
0.02667,0.000258,0.0028,-0.01
0.02833,0.000288,0.0028,0.01
0.03,0.00039,0.0224,0.03
0.03167,0.001193,0.0168,0.19
0.03333,0.001206,0.0028,0.2
0.035,0.000835,0.0028,0.13
0.03667,0.000656,0.0028,0.09
0.03833,0.000589,0.0028,0.09
0.04,0.000631,0.0028,0.11
0.04167,0.000765,0.0168,0.13
0.04333,0.001192,0.0168,0.23
0.045,0.001352,0.0112,0.25
0.04667,0.001369,0.0112,0.26
0.04833,0.001366,0.0112,0.25
0.05,0.001345,0.0112,0.24
0.05167,0.001313,0.0112,0.23
0.05333,0.001252,0.0112,0.23
0.055,0.001192,0.0112,0.23
0.05667,0.001171,0.0112,0.24
0.05833,0.001183,0.0112,0.24
0.06,0.001205,0.0112,0.24
0.06167,0.001258,0.0112,0.25
0.06333,0.00133,0.0112,0.27
0.065,0.001416,0.0168,0.28
0.06667,0.001509,0.0168,0.3
0.06833,0.001564,0.0168,0.31
0.07,0.001607,0.0168,0.32
0.07167,0.001657,0.0168,0.33
0.07333,0.001717,0.0252,0.34
0.075,0.002153,0.028,0.43
0.07667,0.002275,0.0224,0.47
0.07833,0.002305,0.0224,0.48
0.08,0.001985,0.0112,0.4
0.08167,0.001728,0.0112,0.34
0.08333,0.001693,0.0168,0.33
0.085,0.001827,0.028,0.36
0.08667,0.002281,0.028,0.45
0.08833,0.002451,0.028,0.5
0.09,0.002465,0.0224,0.5
0.09167,0.00244,0.0224,0.49
0.09333,0.002433,0.0224,0.48
0.095,0.002438,0.0224,0.47
0.09667,0.002452,0.0224,0.48
0.09833,0.002477,0.0224,0.49
0.1,0.00252,0.0224,0.5
0.10167,0.002581,0.028,0.51
0.10333,0.002638,0.028,0.51
0.105,0.002669,0.028,0.52
0.10667,0.002691,0.028,0.52
0.10833,0.00271,0.028,0.52
0.11,0.002729,0.028,0.53
0.11167,0.002766,0.028,0.54
0.11333,0.002841,0.028,0.54
0.115,0.002914,0.0308,0.55
0.11667,0.002959,0.0308,0.57
0.11833,0.002999,0.0308,0.58
0.12,0.003311,0.042,0.65
0.12167,0.003601,0.0364,0.71
0.12333,0.003646,0.0364,0.72
0.125,0.003328,0.0252,0.67
0.12667,0.003057,0.0252,0.61
0.12833,0.002997,0.0308,0.6
0.13,0.003052,0.042,0.61
0.13167,0.003522,0.042,0.72
0.13333,0.003732,0.042,0.75
0.135,0.003762,0.0364,0.76
0.13667,0.003752,0.0364,0.75
0.13833,0.003746,0.0364,0.74
0.14,0.003738,0.0364,0.74
0.14167,0.003743,0.0364,0.73
0.14333,0.003762,0.0364,0.74
0.145,0.003791,0.0364,0.75
0.14667,0.003839,0.0364,0.76
0.14833,0.003895,0.0364,0.78
0.15,0.003991,0.042,0.78
0.15167,0.004025,0.042,0.78
0.15333,0.003973,0.042,0.78
0.155,0.004004,0.042,0.79
0.15667,0.004035,0.042,0.8
0.15833,0.004069,0.042,0.81
0.16,0.004113,0.042,0.82
0.16167,0.004172,0.042,0.83
0.16333,0.004254,0.0448,0.85
0.165,0.004567,0.0532,0.91
0.16667,0.004849,0.0532,0.98
0.16833,0.00487,0.0476,0.98
0.17,0.004802,0.0392,0.96
0.17167,0.004396,0.0392,0.87
0.17333,0.004231,0.0392,0.84
0.175,0.004252,0.0504,0.84
0.17667,0.0047,0.056,0.94
0.17833,0.004979,0.056,1
0.18,0.005046,0.0504,1.02
0.18167,0.005054,0.0504,1.01
0.18333,0.005051,0.0504,1.01
0.185,0.005054,0.0504,1
0.18667,0.005057,0.0504,1
0.18833,0.0051,0.0504,1
0.19,0.005092,0.0504,1.01
0.19167,0.005139,0.0504,1.02
0.19333,0.005182,0.0504,1.02
0.195,0.005249,0.056,1.04
0.19667,0.005304,0.056,1.05
0.19833,0.005334,0.056,1.06
0.2,0.005352,0.056,1.06
0.20167,0.005366,0.056,1.05
0.20333,0.005389,0.056,1.06
0.205,0.005421,0.056,1.06
0.20667,0.005459,0.056,1.07
0.20833,0.005524,0.0588,1.09
0.21,0.005884,0.0672,1.18
0.21167,0.006119,0.0672,1.23
0.21333,0.00613,0.0616,1.22
0.215,0.005974,0.0532,1.19
0.21667,0.005618,0.0532,1.11
0.21833,0.005514,0.0532,1.09
0.22,0.005581,0.07,1.11
0.22167,0.006055,0.07,1.22
0.22333,0.006265,0.0644,1.25
0.225,0.00633,0.0644,1.26
0.22667,0.006302,0.0644,1.26
0.22833,0.006264,0.0644,1.26
0.23,0.006361,0.0644,1.26
0.23167,0.006354,0.0644,1.26
0.23333,0.006356,0.0644,1.26
0.235,0.006375,0.0644,1.26
0.23667,0.006399,0.0644,1.27
0.23833,0.006438,0.0644,1.28
0.24,0.006495,0.0644,1.3
0.24167,0.006567,0.07,1.31
0.24333,0.006632,0.07,1.32
0.245,0.006667,0.07,1.33
0.24667,0.006696,0.07,1.33
0.24833,0.006722,0.07,1.33
0.25,0.006758,0.07,1.35
0.25167,0.006808,0.0728,1.35
0.25333,0.007191,0.0812,1.44
0.255,0.007419,0.0756,1.5
0.25667,0.007381,0.0644,1.5
0.25833,0.006937,0.0644,1.41
0.26,0.006758,0.07,1.37
0.26167,0.006734,0.07,1.36
0.26333,0.006994,0.0812,1.41
0.265,0.007345,0.0812,1.5
0.26667,0.007483,0.0812,1.52
0.26833,0.007463,0.0756,1.51
0.27,0.007429,0.0756,1.51
0.27167,0.007414,0.0756,1.5
0.27333,0.007416,0.0756,1.49
0.275,0.007424,0.0756,1.49
0.27667,0.00745,0.0756,1.5
0.27833,0.007494,0.0756,1.51
0.28,0.007575,0.0812,1.53
0.28167,0.007641,0.0812,1.53
0.28333,0.007671,0.0812,1.54
0.285,0.007696,0.0812,1.55
0.28667,0.007712,0.0812,1.55
0.28833,0.007744,0.0812,1.55
0.29,0.007778,0.0812,1.56
0.29167,0.007824,0.0812,1.57
0.29333,0.007892,0.084,1.59
0.295,0.007947,0.084,1.59
0.29667,0.008006,0.0925,1.61
0.29833,0.008445,0.0953,1.71
0.3,0.00861,0.0897,1.74
0.30167,0.008555,0.0784,1.73
0.30333,0.008132,0.0784,1.64
0.305,0.007975,0.0784,1.61
0.30667,0.007984,0.084,1.62
0.30833,0.008333,0.0953,1.68
0.31,0.008629,0.0953,1.74
0.31167,0.008698,0.0897,1.76
0.31333,0.008714,0.0897,1.76
0.315,0.008723,0.0897,1.75
0.31667,0.00872,0.0897,1.76
0.31833,0.008728,0.0897,1.76
0.32,0.008754,0.0897,1.76
0.32167,0.008772,0.0897,1.76
0.32333,0.008813,0.0897,1.77
0.325,0.008874,0.0897,1.79
0.32667,0.008928,0.0953,1.8
0.32833,0.008979,0.0953,1.8
0.33,0.008983,0.0953,1.8
0.33167,0.009008,0.0953,1.81
0.33333,0.009035,0.0953,1.81
0.335,0.009062,0.0953,1.82
0.33667,0.009101,0.0953,1.83
0.33833,0.009156,0.0981,1.83
0.34,0.009339,0.1065,1.87
0.34167,0.009705,0.1065,1.95
0.34333,0.009782,0.1009,1.97
0.345,0.009745,0.1009,1.97
0.34667,0.00949,0.0925,1.91
0.34833,0.009242,0.0925,1.86
0.35,0.009203,0.0981,1.85
0.35167,0.009334,0.1093,1.88
0.35333,0.009788,0.1093,1.98
0.355,0.009943,0.1037,2.01
0.35667,0.009997,0.1037,2.02
0.35833,0.01001,0.1037,2.03
0.36,0.010012,0.1037,2.02
0.36167,0.010008,0.1037,2.01
0.36333,0.010004,0.1037,2.02
0.365,0.010017,0.1037,2.02
0.36667,0.010037,0.1037,2.02
0.36833,0.010071,0.1037,2.02
0.37,0.010118,0.1037,2.04
0.37167,0.010185,0.1093,2.05
0.37333,0.010243,0.1093,2.06
0.375,0.010273,0.1093,2.07
0.37667,0.010288,0.1093,2.07
0.37833,0.010299,0.1093,2.08
0.38,0.010324,0.1093,2.08
0.38167,0.010355,0.1093,2.09
0.38333,0.0104,0.1093,2.1
0.385,0.010589,0.1205,2.14
0.38667,0.011002,0.1205,2.23
0.38833,0.011092,0.1149,2.25
0.39,0.010815,0.1065,2.2
0.39167,0.0105,0.1065,2.13
0.39333,0.010419,0.1065,2.1
0.395,0.010487,0.1205,2.11
0.39667,0.010967,0.1205,2.21
0.39833,0.0112,0.1205,2.27
0.4,0.011251,0.1205,2.28
0.40167,0.011202,0.1149,2.26
0.40333,0.011151,0.1149,2.25
0.405,0.011129,0.1149,2.25
0.40667,0.011129,0.1149,2.26
0.40833,0.011154,0.1149,2.26
0.41,0.011208,0.1149,2.26
0.41167,0.011279,0.1205,2.28
0.41333,0.011311,0.1205,2.28
0.415,0.01134,0.1205,2.29
0.41667,0.011359,0.1205,2.29
0.41833,0.011385,0.1205,2.3
0.42,0.011414,0.1205,2.3
0.42167,0.011446,0.1205,2.31
0.42333,0.011497,0.1205,2.32
0.425,0.011562,0.1233,2.33
0.42667,0.011611,0.1233,2.34
0.42833,0.011662,0.1233,2.35
0.43,0.012004,0.1345,2.43
0.43167,0.012247,0.1289,2.49
0.43333,0.012272,0.1261,2.49
0.435,0.011934,0.1205,2.41
0.43667,0.011703,0.1205,2.36
0.43833,0.011652,0.1205,2.35
0.44,0.011723,0.1317,2.36
0.44167,0.012155,0.1345,2.46
0.44333,0.012383,0.1345,2.5
0.445,0.012432,0.1289,2.52
0.44667,0.012419,0.1289,2.51
0.44833,0.012415,0.1289,2.5
0.45,0.012416,0.1289,2.5
0.45167,0.012428,0.1289,2.5
0.45333,0.012454,0.1289,2.51
0.455,0.012499,0.1289,2.52
0.45667,0.012566,0.1345,2.52
0.45833,0.012609,0.1345,2.54
0.46,0.012614,0.1345,2.54
0.46167,0.012625,0.1345,2.54
