Partner Data Point File,,,
Start of Test Wed 27 Sep 2017 16:59:51,,,
Time ( min ),Shear Strain ( deg ),Angle ( deg ),Torque ( in·lb )
0,-5.80E-05,0,-0.2
0.00167,-5.30E-05,0,-0.2
0.00333,-5.50E-05,0,-0.19
0.005,-4.90E-05,0,-0.18
0.00667,-1.20E-05,0,-0.1
0.00833,4.40E-05,0.0056,0.08
0.01,0.000249,0.0252,0.63
0.01167,0.000597,0.0252,1.6
0.01333,0.000728,0.0252,2.03
0.015,0.000822,0.0252,2.22
0.01667,0.000859,0.0252,2.34
0.01833,0.0009,0.0252,2.47
0.02,0.001083,0.0448,2.92
0.02167,0.001436,0.0448,3.94
0.02333,0.001607,0.0448,4.44
0.025,0.001707,0.0448,4.69
0.02667,0.001756,0.0448,4.86
0.02833,0.001843,0.0616,5.06
0.03,0.002181,0.0616,6.03
0.03167,0.002368,0.0616,6.57
0.03333,0.002479,0.0616,6.84
0.035,0.002538,0.0644,7.04
0.03667,0.002659,0.0784,7.36
0.03833,0.002982,0.0784,8.27
0.04,0.00313,0.0784,8.71
0.04167,0.003216,0.0784,8.93
0.04333,0.003267,0.0784,9.08
0.045,0.003334,0.0953,9.27
0.04667,0.003632,0.0953,10.09
0.04833,0.003793,0.0953,10.56
0.05,0.003886,0.0953,10.79
0.05167,0.003945,0.0953,10.96
0.05333,0.004076,0.1121,11.32
0.055,0.004354,0.1121,12.09
0.05667,0.004472,0.1121,12.45
0.05833,0.004537,0.1121,12.63
0.06,0.004594,0.1121,12.75
0.06167,0.004654,0.1289,12.91
0.06333,0.004974,0.1289,13.85
0.065,0.005165,0.1289,14.38
0.06667,0.005257,0.1289,14.65
0.06833,0.005328,0.1289,14.81
0.07,0.005445,0.1457,15.12
0.07167,0.005747,0.1457,15.98
0.07333,0.005894,0.1457,16.39
0.075,0.005964,0.1457,16.59
0.07667,0.006013,0.1457,16.71
0.07833,0.006073,0.1597,16.87
0.08,0.006393,0.1625,17.77
0.08167,0.006633,0.1625,18.34
0.08333,0.006761,0.1625,18.62
0.085,0.006826,0.1625,18.8
0.08667,0.006913,0.1793,19.02
0.08833,0.007212,0.1793,19.89
0.09,0.007366,0.1793,20.33
0.09167,0.007444,0.1793,20.54
0.09333,0.007486,0.1793,20.67
0.095,0.007548,0.1905,20.82
0.09667,0.00785,0.1961,21.65
0.09833,0.008041,0.1961,22.2
0.1,0.008142,0.1961,22.48
0.10167,0.00819,0.1961,22.64
0.10333,0.008265,0.2101,22.83
0.105,0.008575,0.2129,23.69
0.10667,0.008739,0.2129,24.17
0.10833,0.008819,0.2129,24.39
0.11,0.008859,0.2129,24.52
0.11167,0.008905,0.2185,24.66
0.11333,0.009192,0.2297,25.45
0.115,0.009411,0.2297,26.04
0.11667,0.00951,0.2297,26.32
0.11833,0.009571,0.2297,26.49
0.12,0.009629,0.2409,26.64
0.12167,0.009918,0.2465,27.45
0.12333,0.010096,0.2465,27.97
0.125,0.01018,0.2465,28.23
0.12667,0.010228,0.2465,28.37
0.12833,0.010273,0.2493,28.5
0.13,0.010542,0.2634,29.26
0.13167,0.010745,0.2634,29.82
0.13333,0.010832,0.2634,30.06
0.135,0.010873,0.2634,30.19
0.13667,0.010923,0.269,30.32
0.13833,0.011181,0.2802,31.02
